VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
TlhhbkufDyU,https://www.youtube.com/watch?v=TlhhbkufDyU,UCDYBoHKSJRywQ4kPytx3G-A,Sức Khỏe 1001,Personal,5 Mẹo Ăn Uống Giúp Bệnh Tiểu Đường Cả Đời Không Lo Biến Chứng Ai Cũng Cần Biết Để Sống Thọ Hơn,56,103000,9409,2020-12-23T10:04:13Z,12M18S,1
58U--2qURLI,https://www.youtube.com/watch?v=58U--2qURLI,UCyyBwmLwgobr9-CSU9JuX3w,THS BS PHAN ANH TUẤN OFFICIAL,Organization,THỜI GIAN ĂN TRÁI CÂY Ở NGƯỜI BỊ TIỂU ĐƯỜNG | THS BS PHAN ANH TUẤN OFFICIAL,33,7070,1030,2022-07-31T12:00:05Z,6M50S,6
F14hfpWsCeA,https://www.youtube.com/watch?v=F14hfpWsCeA,UCyyBwmLwgobr9-CSU9JuX3w,THS BS PHAN ANH TUẤN OFFICIAL,Organization,6 NHÓM NGƯỜI CÓ NGUY CƠ BỊ TIỂU ĐƯỜNG CAO #shorts #thsbsphananhtuanofficial,16,7070,459,2023-09-09T11:30:03Z,39S,1
qPIKBYWuBKo,https://www.youtube.com/watch?v=qPIKBYWuBKo,UCmL5XFrOPUPfPznIVsUcTMA,ĐÔNG DƯỢC NESFACO,Personal,Chị tiểu đường type 1 uống được không #bepharin #tiểuđường #apharin,7,11500,411,2025-02-11T00:38:06Z,53S,0
Jcn0dEim7MU,https://www.youtube.com/watch?v=Jcn0dEim7MU,UCgSq1NmpzKJ4HcKy3SQcX-Q,PGS. TS. Nguyễn Văn Chi,Personal,PGS.TS. Nguyễn Văn Chi | TIỂU ĐƯỜNG TYPE-2 đến từ cốc... TRÀ SỮA? | Rubik Sức Khoẻ 08/7/2025,1,26,117,2025-07-31T15:18:25Z,12M41S,0
-fRJRWbS_mk,https://www.youtube.com/watch?v=-fRJRWbS_mk,UCZRUrG90OcM54Sl-gkHdpFQ,Bác Sĩ Tiểu Đường,Personal,2 Cách ĂN UỐNG Đẩy Lùi BỆNH TIỂU ĐƯỜNG TYPE 2 TẬN GỐC Hiệu Quả Chỉ Sau 1 Tháng!,494,16300,22047,2025-08-05T12:20:49Z,25M54S,78
oUx78R6SmLc,https://www.youtube.com/watch?v=oUx78R6SmLc,UCvQdeOPf0LBXZUOp55Z7bdQ,Mary Comeau,Personal,LOW BLOOD SUGAR snack haul 🍬 #t1d #typeonediabetes #lowbloodsugar #diabetes #youtubeshorts,0,1050000,1609552,2025-07-04T21:06:58Z,1M21S,289
ELCeNhuTzlA,https://www.youtube.com/watch?v=ELCeNhuTzlA,UCyRAeukwkfo2S1i7Rthq8vw,ĐÀO TẠO ĐẠI LÝ TĨNH SÁNG ĐƯỜNG,Personal,CƠ CHẾ GÂY RA BỆNH TIỂU ĐƯỜNG LÀ NHƯ THẾ NÀO ?  | ĐÀO TẠO ĐẠI LÝ TĨNH SÁNG ĐƯỜNG,1,49,41,2025-03-30T13:48:19Z,12M6S,0
jBdv0GhofLI,https://www.youtube.com/watch?v=jBdv0GhofLI,UCyyBwmLwgobr9-CSU9JuX3w,THS BS PHAN ANH TUẤN OFFICIAL,Organization,"Tại sao bệnh tiểu đường cần phải tập đọc ""ABC"" #shorts #thsbsphananhtuanofficial",22,7070,1419,2023-09-16T11:30:26Z,40S,0
0QwyUSN9t-c,https://www.youtube.com/watch?v=0QwyUSN9t-c,UC97CCddXHZUt2T_p94tZlcg,Trang Thai thi thuy,Personal,CĐ duoc lam sang  dai thao duong type 1,1,5,67,2020-08-08T00:07:06Z,8M30S,0
XOSP_CZ6t0w,https://www.youtube.com/watch?v=XOSP_CZ6t0w,UCbgbFPyxNnYohHNoO2XFiLg,Thầy Thuốc Việt Nam,Personal,9 biến chứng tiểu đường type 2 bạn không ngờ tới,0,8,1,2020-01-26T13:15:00Z,4M48S,0
