VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments,Type
05RHsAhBtMk,https://www.youtube.com/watch?v=05RHsAhBtMk,UCnOuAN2OoH-uwU4jgeH9Wlg,Lương y Nguyễn Công Đức,Personal,HỖ TRỢ ĐIỀU TRỊ BỆNH TIỂU ĐƯỜNG - Lương Y Nguyễn Công Đức,3293,415000,382215,2024-03-17T16:14:41Z,34S,38,1
3oNzYqYhZL0,https://www.youtube.com/watch?v=3oNzYqYhZL0,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,"Tiểu đường, chỉ số đường huyết cao có nên ăn thịt bò không? | Báo Lao Động",11,984000,2356,2025-01-20T00:45:00Z,1M1S,0,1
jayC0pj5Pa4,https://www.youtube.com/watch?v=jayC0pj5Pa4,UCDLhNWWQeFZep0eh_1VDVLQ,Emma Pham Kitchen,Personal,Bệnh tiểu đường: Tiểu đường loại 2 có thể chữa lành được mà không cần phải dùng thuốc suốt đời?,177,267000,19128,2022-07-13T14:05:21Z,5M7S,23,1
HdA4b56ncAg,https://www.youtube.com/watch?v=HdA4b56ncAg,UCBNSanynVcLy-xrlLxmifLg,Ứng dụng tư vấn sức khỏe Online 365 Medihome,Personal,Nhận biết triệu chứng Bệnh tiểu đường - đái tháo đường,2,24800,521,2022-08-20T12:00:20Z,4M2S,0,1
Ur34vjxq7Eg,https://www.youtube.com/watch?v=Ur34vjxq7Eg,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Cách Ăn Đồ Ngọt An Toàn Cho Người Bệnh Tiểu Đường | BS.CK2 Trần Thị Kim Chi | Video Alobacsi,2966,1650000,422567,2024-11-01T03:24:27Z,23M48S,89,1
q7ClwaYM8_A,https://www.youtube.com/watch?v=q7ClwaYM8_A,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Người Bệnh Tiểu Đường Ăn Được Những Trái Cây Gì? | ThS.BS.CK1 Lê Ngọc Quỳnh Thư,624,1650000,90314,2022-12-08T08:00:10Z,12M59S,23,1
eLPVSsnH6iY,https://www.youtube.com/watch?v=eLPVSsnH6iY,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Cách đọc chỉ số bệnh tiểu đường chính xác | Dr Ngọc #short #shorts #drngoc,343,1310000,20899,2024-05-20T00:00:15Z,41S,12,1
tPJb_8mA2PM,https://www.youtube.com/watch?v=tPJb_8mA2PM,UCZcCmWhvK0gfThyWRmRerDQ,TOÀN CẢNH 24H,Personal,[Sống khỏe mỗi ngày] Khi nào bệnh nhân tiểu đường có thể ngừng thuốc tây điều trị bệnh,159,6210000,43220,2023-08-04T04:14:03Z,1H37M49S,0,1
T11JY4DheDE,https://www.youtube.com/watch?v=T11JY4DheDE,UCDLhNWWQeFZep0eh_1VDVLQ,Emma Pham Kitchen,Personal,Bệnh tiểu đường chữa lành tự nhiên cùng Emma và Bsĩ Hoàng Hiệp,5073,267000,452351,2022-06-20T14:00:14Z,59M36S,717,1
RaO8KNN0TbE,https://www.youtube.com/watch?v=RaO8KNN0TbE,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Các bước xử trí khi người bệnh tiểu đường bị hạ đường huyết,69,1650000,8592,2023-10-26T12:00:09Z,13M28S,1,1
zQT214nCVK0,https://www.youtube.com/watch?v=zQT214nCVK0,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,6 Loại Thức Uống Tốt Cho Người Đang Bị Bệnh Tiểu Đường,18,1650000,2582,2023-08-16T03:07:57Z,2M15S,0,1
eUPikbz-zVw,https://www.youtube.com/watch?v=eUPikbz-zVw,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,"Loại cây mọc dại hỗ trợ hạ đường huyết, ngừa bệnh tiểu đường | Báo Lao Động",71,984000,1522,2025-01-27T04:06:58Z,51S,0,1
NJHO5T_Yodo,https://www.youtube.com/watch?v=NJHO5T_Yodo,UCYHzHDXngnB7jkmcQgXwE0w,Hello Bacsi,Personal,3 dấu hiệu cảnh báo bệnh tiểu đường đặc trưng ở phụ nữ  #hellobacsi #doctor #suckhoe,262,4950,24068,2023-11-01T12:00:18Z,48S,0,1
1tPylOB4fcs,https://www.youtube.com/watch?v=1tPylOB4fcs,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,4 Tháng Mắc Tiểu Đường Cô Gái Trẻ Tuổi Phải Mổ Mắt Do Đục Thủy Tinh Thể | SKĐS,15,3000000,4429,2023-11-03T11:00:10Z,4M35S,0,1
Gf4f2xBHM34,https://www.youtube.com/watch?v=Gf4f2xBHM34,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Lợi ích của vitamin d đối với bệnh tiểu đường là gì? | Dr Ngọc #shorts #short #drngoc,443,1310000,13345,2023-07-06T01:00:05Z,55S,18,1
oGKwlp20tGQ,https://www.youtube.com/watch?v=oGKwlp20tGQ,UCWv6Zj_E6AG73tOr14B2kGA,Eatsy,Personal,NGƯỜI BỆNH TIỂU ĐƯỜNG CÓ ĐƯỢC ĂN MẬT ONG KHÔNG?,82,3930,17115,2020-12-21T09:22:31Z,3M3S,0,1
lobgJt9kUzM,https://www.youtube.com/watch?v=lobgJt9kUzM,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khỏe & Đời sống,Personal,Giảo Cổ Lam  - “Khắc Tinh” Của Bệnh Tiểu Đường | SKĐS,48,3000000,20666,2022-10-22T12:55:45Z,1M12S,0,1
